# first row has to be the base model
# ss : sample size
# a : alpha for dirichilet distribution of cell type proportions
# vc : variance proportion explained by the five components in the order of cell type main effect, shared genetic effect, shared_noise, CT specific genetic effect, CT specific noise, and cell-specific noise
# beta : ratio of betas, i.e. cell type main effect
# V_diag : ratio of diagnal elements in the matrix of V
# V_tril : correltion between each pair of diagnol elements in V, i.e. the covariance in V equal to correlation * sqrt(v_1 * v_2)
# std_nu_scale : nu_i follows gamma distribution of (mean = last component of vs, var = (std_nu_scale * mean)**2)
model	ss	a	vc	beta	V_diag	V_tril	W_diag	W_tril	std_nu_scale
free41	1000	2_2_2_2	0_0_0_0.0003_0.1216_0.8781	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free41	1000	2_2_2_2	0_0_0_0.0016_0.5798_0.4186	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free41	1000	2_2_2_2	0_0_0_0.002_0.7333_0.2647	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free41	1000	2_2_2_2	0_0_0_0.0024_0.8717_0.1259	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free41	1000	2_2_2_2	0_0_0_0.0025_0.9303_0.0672	8_4_2_1	10_1_1_1	0	1_1_1_1	0	0.4
free5	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
free5	500	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0	1_1_1_1	0	0.4
full	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	-1_0_0_0_0_0	1_1_1_1	0	0.4
full	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	-0.5_0_0_0_0_0	1_1_1_1	0	0.4
full	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	0.5_0_0_0_0_0	1_1_1_1	0	0.4
full	1000	2_2_2_2	0.13_0.13_0.11_0.04_0.08_0.51	8_4_2_1	1_1_1_1	1_0_0_0_0_0	1_1_1_1	0	0.4
